postcode,suburb
2429,Yarratt Forest
2430,Black Head
2430,Bootawa
2430,Cundletown
2430,Diamond Beach
2430,Dumaresq Island
2430,Failford
2430,Glenthorne
2430,Hallidays Point
2430,Hillville
2430,Koorainghat
2430,Kundle Kundle
2430,Lansdowne (Greater Taree - NSW)
2430,Lansdowne Forest
2430,Manning Point
2430,Mitchells Island
2430,Moto
2430,Old Bar
2430,Oxley Island
2430,Pampoolah
2430,Possum Brush
2430,Purfleet
2430,Rainbow Flat
2430,Red Head
2430,Tallwoods Village
2430,Taree
2430,Taree South
2430,Tinonee
2430,Upper Lansdowne
2430,Wallabi Point
2431,Arakoon
2431,Jerseyville
2431,South West Rocks
2439,Kendall
2439,Kew (NSW)
2439,Logans Crossing
2439,Lorne (NSW)
2440,Aldavilla
2440,Bellbrook
2440,Belmore River
2440,Burnt Bridge
2440,Clybucca
2440,Collombatti
2440,Crescent Head
2440,Dondingalong
2440,East Kempsey
2440,Euroka
2440,Frederickton
2440,Gladstone (NSW)
2440,Greenhill (NSW)
2440,Hat Head
2440,Hickeys Creek
2440,Kempsey
2440,Kinchela
2440,Mooneba
2440,Sherwood (Kempsey - NSW)
2440,Smithtown
2440,South Kempsey
2440,Temagog
2440,Verges Creek
2440,West Kempsey
2440,Willawarrin
2440,Wittitrin
2440,Yarravel
2441,Allgomera
2441,Bonville
2441,Cooperabung
2441,Eungai Creek
2441,Eungai Rail
2441,Fishermans Reach
2441,Kundabung
2441,Stuarts Point
2441,Telegraph Point
2441,Upper Rollands Plains
2441,Yarrahapinni
2443,Camden Head
2443,Coralville
2443,Crowdy Bay National Park
2443,Dunbogan
2443,Hannam Vale
2443,Herons Creek
2443,Johns River
2443,Jolly Nose
2443,Lakewood (NSW)
2443,Laurieton
2443,Moorland (NSW)
2443,North Brother
2443,North Haven (NSW)
2443,West Haven
2444,Blackmans Point
2444,Fernbank Creek
2444,North Shore (NSW)
2444,Port Macquarie
2444,Riverside (NSW)
2444,Thrumster
2445,Bonny Hills
2445,Grants Beach
2445,Lake Cathie
2446,Beechwood
2446,Bellangry
2446,Byabarra
2446,Crosslands
2446,Ellenborough
2446,Frazers Creek
2446,Kindee
2446,King Creek
2446,Lake Innes
2446,Long Flat (NSW)
2446,Lower Pappinbarra
2446,Pembrooke
2446,Redbank (NSW)
2446,Rosewood (Port Macquarie-Hastings - NSW)
2446,Sancrox
2446,Wauchope
2447,Congarinni
2447,Congarinni North
2447,Gumma
2447,Macksville
2447,Newee Creek
2447,North Macksville
2447,Scotts Head
2447,Taylors Arm
2447,Warrell Creek
2447,Way Way
2447,Yarranbella
2448,Hyland Park
2448,Nambucca Heads
2448,Valla
2448,Valla Beach
2449,Argents Hill
2449,Bowraville
2449,Missabotti
2449,South Arm (Nambucca - NSW)
2449,Tewinga
2450,Boambee
2450,Bucca (NSW)
2450,Coffs Harbour
2450,Coramba
2450,Glenreagh
2450,Karangi
2450,Korora
2450,Lowanna
2450,Moonee Beach
2450,Nana Glen
2450,North Boambee Valley
2450,Sapphire Beach
2450,Ulong
2450,Upper Orara
2452,Boambee East
2452,Sawtell
2452,Toormina
2453,Deer Vale
2453,Dorrigo
2453,Dundurrabin
2453,Hernani
2453,Megan
2453,North Dorrigo
2454,Bellingen
2454,Brierfield
2454,Bundagen
2454,Darkwood
2454,Fernmount
2454,Gleniffer
2454,Kalang
2454,Mylestom
2454,Raleigh
2454,Repton
2454,Thora
2455,Urunga
2456,Arrawarra
2456,Arrawarra Headland
2456,Corindi Beach
2456,Emerald Beach
2456,Mullaway
2456,Red Rock
2456,Safety Beach (NSW)
2456,Sandy Beach
2456,Upper Corindi
2456,Woolgoolga
2460,Alumy Creek
2460,Barcoongere
2460,Braunstone
2460,Brushgrove
2460,Cangai
2460,Carrs Creek
2460,Clarenza
2460,Copmanhurst
2460,Coutts Crossing
2460,Eatonsville
2460,Elland
2460,Glenugie
2460,Grafton
2460,Gurranang
2460,Halfway Creek
2460,Junction Hill
2460,Kangaroo Creek
2460,Lanitza
2460,Lawrence (NSW)
2460,Mountain View (NSW)
2460,Nymboida
2460,Ramornie
2460,Seelands
2460,South Grafton
2460,Southampton (NSW)
2460,Southgate
2460,The Pinnacles
2460,The Whiteman
2460,Tyndale
2460,Waterview Heights
2460,Wells Crossing
2462,Calliope (NSW)
2462,Pillar Valley
2462,Tucabia
2462,Ulmarra
2462,Wooli
2463,Ashby (NSW)
2463,Ashby Heights
2463,Brooms Head
2463,Gulmarrad
2463,Ilarwill
2463,James Creek
2463,Maclean
2463,Palmers Island
2463,Townsend
2463,Woodford Island
2464,Angourie
2464,Freeburn Island
2464,Yamba (NSW)
2464,Yuraygir
2465,Harwood
2466,Iluka (NSW)
2469,Bonalbo
2469,Chatsworth (NSW)
2469,Drake
2469,Ewingar
2469,Mallanganee
2469,Mummulgum
2469,Myrtle Creek (NSW)
2469,Old Bonalbo
2469,Rappville
2469,Tabulam
2469,Warregah Island
2469,Woombah
2470,Backmede
2470,Casino
2470,Doubtful Creek
2470,Ellangowan (NSW)
2470,Fairy Hill
2470,Hogarth Range
2470,Lower Dyraaba
2470,North Casino
2470,Shannon Brook
2470,Spring Grove
2470,Stratheden
2470,Woodview
2470,Yorklea
2471,Bora Ridge
2471,Coraki
2471,East Coraki
2471,Myrtle Creek (NSW)
2471,Swan Bay (Richmond Valley - NSW)
2471,Tatham
2472,New Italy
2472,Rileys Hill
2472,Woodburn (Richmond Valley - NSW)
2473,Doonbah
2473,Evans Head
2474,Barkers Vale
2474,Cawongla
2474,Eden Creek
2474,Ettrick (NSW)
2474,Fawcetts Plain
2474,Geneva
2474,Green Pigeon
2474,Homeleigh
2474,Horse Station Creek
2474,Kyogle
2474,Lynchs Creek
2474,Old Grevillia
2474,Roseberry Creek
2474,Wiangaree
2475,Urbenville
2476,Legume
2476,Muli Muli
2476,Woodenbong
2477,Alstonvale
2477,Alstonville
2477,Cabbage Tree Island (Ballina - NSW)
2477,Dalwood (Ballina - NSW)
2477,Lynwood (NSW)
2477,Meerschaum Vale
2477,Rous
2477,Rous Mill
2477,Tuckombil
2477,Uralba
2477,Wardell
2477,Wollongbar
2478,Ballina
2478,Cumbalum
2478,East Ballina
2478,Empire Vale
2478,Keith Hall
2478,Lennox Head
2478,Pimlico (NSW)
2478,Skennars Head
2478,Teven
2478,Tintenbar
2478,West Ballina
2479,Bangalow
2479,Binna Burra (NSW)
2479,Brooklet
2479,Coopers Shoot
2479,Coorabell
2479,Fernleigh
2479,Knockrow
2479,Nashua
2479,Newrybar
2479,Possum Creek
2480,Bentley (NSW)
2480,Bexhill
2480,Blue Knob
2480,Booerie Creek
2480,Caniaba
2480,Chilcotts Grass
2480,Clunes (NSW)
2480,Coffee Camp
2480,Corndale (NSW)
2480,Dunoon
2480,East Lismore
2480,Eltham (NSW)
2480,Eureka (NSW)
2480,Federal (NSW)
2480,Georgica
2480,Girards Hill
2480,Goonellabah
2480,Greenridge
2480,Jiggi
2480,Keerrong
2480,Koonorigan
2480,Lagoon Grass
2480,Larnook
2480,Leycester
2480,Lillian Rock
2480,Lindendale
2480,Lismore (NSW)
2480,Lismore Heights
2480,Loftville
2480,McLeans Ridges
2480,Modanville
2480,Monaltrie
2480,Nimbin
2480,North Lismore
2480,Numulgi
2480,Richmond Hill (NSW)
2480,Rock Valley
2480,Rosebank
2480,South Gundurimba
2480,South Lismore
2480,Stony Chute
2480,Terania Creek
2480,The Channon
2480,Tregeagle
2480,Tucki Tucki
2480,Tullera
2480,Whian Whian
2480,Wyrallah
2481,Broken Head
2481,Byron Bay
2481,Ewingsdale
2481,Myocum
2481,Skinners Shoot
2481,Suffolk Park
2481,Tyagarah
2482,Goonengerry
2482,Huonbrook
2482,Main Arm
2482,Mullumbimby
2482,Mullumbimby Creek
2482,Upper Main Arm
2482,Wilsons Creek
2483,Billinudgel
2483,Brunswick Heads
2483,Burringbar
2483,Crabbes Creek
2483,Mooball
2483,New Brighton
2483,Ocean Shores
2483,South Golden Beach
2483,The Pocket
2483,Upper Burringbar
2483,Wooyung
2484,Bray Park (NSW)
2484,Byangum
2484,Byrrill Creek
2484,Chillingham
2484,Clothiers Creek
2484,Condong
2484,Crystal Creek (NSW)
2484,Cudgera Creek
2484,Dulguigan
2484,Dunbible
2484,Dungay
2484,Eungella (NSW)
2484,Eviron
2484,Fernvale (NSW)
2484,Hopkins Creek
2484,Kielvale
2484,Limpinwood
2484,Mount Burrell
2484,Murwillumbah
2484,Nobbys Creek
2484,Nunderi
2484,Pumpenbil
2484,Reserve Creek
2484,Round Mountain
2484,Rowlands Creek
2484,Smiths Creek (Tweed - NSW)
2484,South Murwillumbah
2484,Stokers Siding
2484,Tyalgum
2484,Uki
2484,Upper Crystal Creek
2485,Tweed Heads
2485,Tweed Heads West
2486,Banora Point
2486,Bilambil
2486,Bilambil Heights
2486,Carool
2486,Cobaki
2486,Piggabeen
2486,Terranora
2486,Tweed Heads South
2487,Casuarina (NSW)
2487,Chinderah
2487,Cudgen
2487,Duranbah
2487,Fingal Head
2487,Kingscliff
2488,Bogangar
2489,Hastings Point
2489,Pottsville
2490,North Tumbulgum
2490,Tumbulgum
2500,Coniston
2500,Gwynneville
2500,Keiraville
2500,Mangerton
2500,Mount Keira
2500,Mount Saint Thomas
2500,North Wollongong
2500,West Wollongong
2500,Wollongong
2502,Cringila
2502,Lake Heights
2502,Primbee
2502,Warrawong
2505,Coniston
2505,Port Kembla
2506,Berkeley
2506,Cringila
2508,Coalcliff
2508,Darkes Forest
2508,Helensburgh
2508,Lilyvale (NSW)
2508,Otford
2508,Stanwell Park
2508,Stanwell Tops
2515,Austinmer
2515,Coledale
2515,Thirroul
2515,Wombarra
2516,Bulli
2517,Russell Vale
2517,Woonona
2518,Bellambi
2518,Corrimal
2518,East Corrimal
2518,Tarrawanna
2518,Towradgi
2519,Balgownie
2519,Fairy Meadow
2519,Mount Ousley
2519,Mount Pleasant (NSW)
2519,North Wollongong
2525,Figtree
2526,Cordeaux Heights
2526,Farmborough Heights
2526,Kembla Grange
2526,Kembla Heights
2526,Mount Kembla
2526,Unanderra
2527,Albion Park
2527,Albion Park Rail
2527,Calderwood
2527,Tullimbar
2527,Yellow Rock (Shellharbour - NSW)
2528,Barrack Heights
2528,Barrack Point
2528,Lake Illawarra
2528,Mount Warrigal
2528,Warilla
2528,Windang
2529,Blackbutt (NSW)
2529,Dunmore (NSW)
2529,Flinders (NSW)
2529,Oak Flats
2529,Shell Cove
2529,Shellharbour
2529,Shellharbour City Centre
2530,Brownsville
2530,Dapto
2530,Haywards Bay
2530,Horsley
2530,Kanahooka
2530,Koonawarra
2530,Marshall Mount
2530,Penrose (Wollongong - NSW)
2530,Wongawilli
2533,Bombo
2533,Curramore (NSW)
2533,Jamberoo
2533,Jerrara
2533,Kiama
2533,Kiama Downs
2533,Kiama Heights
2533,Minnamurra
2534,Foxground
2534,Gerringong
2534,Gerroa
2534,Werri Beach
2535,Bellawongarah
2535,Berry
2535,Broughton Vale
2535,Coolangatta (NSW)
2535,Far Meadow
2535,Jaspers Brush
2535,Shoalhaven Heads
2536,Batehaven
2536,Batemans Bay
2536,Catalina
2536,Denhams Beach
2536,Deua River Valley
2536,Durras North
2536,Jeremadra
2536,Lilli Pilli (Eurobodalla - NSW)
2536,Long Beach
2536,Maloneys Beach
2536,Malua Bay
2536,Mogo (Eurobodalla - NSW)
2536,Nelligen
2536,North Batemans Bay
2536,Rosedale (NSW)
2536,South Durras
2536,Sunshine Bay
2536,Surf Beach (NSW)
2536,Surfside
2537,Bergalia
2537,Bingie
2537,Broulee
2537,Congo
2537,Mogendoura
2537,Moruya
2537,Moruya Heads
2537,Mossy Point
2537,Tomakin
2537,Turlinjah
2537,Tuross Head
2538,Little Forest
2538,Milton (NSW)
2538,Mogood
2538,Morton
2538,Woodstock (Shoalhaven - NSW)
2539,Bawley Point
2539,Bendalong
2539,Burrill Lake
2539,Conjola Park
2539,Cunjurong Point
2539,Dolphin Point
2539,Fishermans Paradise
2539,Kings Point
2539,Kioloa
2539,Lake Conjola
2539,Lake Tabourie
2539,Manyana
2539,Mollymook
2539,Mollymook Beach
2539,Narrawallee
2539,Termeil
2539,Ulladulla
2539,Yatte Yattah
2540,Basin View
2540,Beecroft Peninsula
2540,Berrara
2540,Bream Beach
2540,Callala Bay
2540,Callala Beach
2540,Cambewarra
2540,Cambewarra Village
2540,Comberton
2540,Cudmirrah
2540,Culburra Beach
2540,Currarong
2540,Erowal Bay
2540,Falls Creek (NSW)
2540,Greenwell Point
2540,Huskisson
2540,Hyams Beach
2540,Meroo Meadow
2540,Mondayong
2540,Mundamia
2540,Myola (NSW)
2540,Nowra Hill
2540,Old Erowal Bay
2540,Orient Point
2540,Parma
2540,Pyree
2540,Sanctuary Point
2540,St Georges Basin
2540,Sussex Inlet
2540,Tapitallee
2540,Terara
2540,Tomerong
2540,Vincentia
2540,Wandandian
2540,Woollamia
2540,Worrigee
2540,Worrowing Heights
2540,Jervis Bay (OT)
2541,Bangalee (NSW)
2541,Bomaderry
2541,North Nowra
2541,Nowra
2541,South Nowra
2541,West Nowra
2545,Bodalla
2545,Eurobodalla
2545,Nerrigundah
2545,Potato Point
2546,Akolele
2546,Bermagui
2546,Central Tilba
2546,Dalmeny
2546,Dignams Creek
2546,Kianga (NSW)
2546,Mystery Bay
2546,Narooma
2546,North Narooma
2546,Wallaga Lake
2548,Berrambool
2548,Merimbula
2548,Tura Beach
2549,Bald Hills (NSW)
2549,Greigs Flat
2549,Lochiel (NSW)
2549,Millingandi
2549,Nethercote
2549,Pambula
2549,Pambula Beach
2549,South Pambula
2550,Angledale
2550,Bega
2550,Bemboka
2550,Bournda
2550,Brogo
2550,Buckajo
2550,Burragate
2550,Candelo
2550,Cobargo
2550,Coolagolite
2550,Coopers Gully
2550,Jellat Jellat
2550,Kalaru
2550,Kanoona
2550,Mogareeka
2550,Numbugga
2550,Quaama
2550,Tanja
2550,Tantawangalo
2550,Tarraganda
2550,Tathra
2550,Towamba
2550,Verona
2550,Wallagoot
2550,Wandella (NSW)
2550,Wolumla
2550,Wyndham (NSW)
2551,Boydtown
2551,Eden
2551,Kiah
2551,Nungatta
2555,Badgerys Creek
2556,Bringelly
2557,Catherine Field
2557,Rossmore (NSW)
2558,Eagle Vale
2558,Eschol Park
2558,Kearns
2559,Blairmount
2559,Claymore
2559,Gregory Hills
2560,Airds
2560,Ambarvale
2560,Appin (NSW)
2560,Blair Athol (NSW)
2560,Bradbury (NSW)
2560,Campbelltown (NSW)
2560,Gilead
2560,Glen Alpine
2560,Kentlyn
2560,Leumeah
2560,Rosemeadow
2560,Ruse
2560,St Helens Park
2560,Wedderburn (NSW)
2560,Woodbine (NSW)
2563,Menangle Park
2564,Long Point (Campbelltown - NSW)
2564,Macquarie Fields
2565,Denham Court
2565,Ingleburn
2565,Macquarie Links
2566,Bow Bowing
2566,Minto
2566,Minto Heights
2566,Raby
2566,St Andrews (NSW)
2566,Varroville
2567,Currans Hill
2567,Harrington Park
2567,Mount Annan
2567,Narellan
2567,Narellan Vale
2567,Smeaton Grange
2568,Menangle
2569,Douglas Park
2570,Belimbla Park
2570,Brownlow Hill
2570,Camden
2570,Camden Park (NSW)
2570,Camden South
2570,Cawdor (NSW)
2570,Cobbitty
2570,Elderslie (Camden - NSW)
2570,Ellis Lane
2570,Grasmere
2570,Kirkham
2570,Mount Hunter
2570,Oakdale (NSW)
2570,Oran Park
2570,Orangeville
2570,Spring Farm (NSW)
2570,The Oaks
2570,Theresa Park
2570,Werombi
2571,Balmoral (Wingecarribee - NSW)
2571,Buxton (NSW)
2571,Couridjah
2571,Picton (NSW)
2571,Razorback
2571,Wilton (NSW)
2572,Lakesland
2572,Thirlmere
2573,Tahmoor
2574,Bargo
2574,Maddens Plains
2574,Pheasants Nest
2574,Yanderra
2575,Aylmerton
2575,Balaclava (NSW)
2575,Braemar
2575,Colo Vale
2575,High Range
2575,Hill Top (Wingecarribee - NSW)
2575,Mittagong
2575,Welby
2575,Willow Vale (Wingecarribee - NSW)
2575,Woodlands (Wingecarribee - NSW)
2575,Yerrinbool
2576,Bowral
2576,Burradoo
2576,East Bowral
2576,Glenquarry
2576,Kangaloon
2577,Barrengarry
2577,Beaumont (NSW)
2577,Berrima
2577,Burrawang
2577,Canyonleigh
2577,Fitzroy Falls
2577,Kangaroo Valley
2577,Medway
2577,Meryla
2577,Moss Vale
2577,New Berrima
2577,Paddys River (Wingecarribee - NSW)
2577,Robertson (NSW)
2577,Sutton Forest
2577,Werai
2577,Wildes Meadow
2578,Bundanoon (NSW)
2579,Exeter (NSW)
2579,Marulan
2579,Penrose (Wingecarribee - NSW)
2579,Tallong
2579,Wingello
2580,Bannaby
2580,Bannister (NSW)
2580,Baw Baw (NSW)
2580,Brisbane Grove
2580,Bungonia
2580,Goulburn
2580,Gundary
2580,Lower Boro
2580,Middle Arm
2580,Mount Fairy
2580,Myrtleville
2580,Parkesbourne
2580,Quialigo
2580,Run-o-Waters
2580,Tarago
2580,Taralga
2580,Towrang
2580,Windellama
2580,Wombeyan Caves
2581,Breadalbane (NSW)
2581,Broadway
2581,Collector
2581,Dalton
2581,Gunning
2581,Lade Vale
2582,Bookham
2582,Bowning
2582,Good Hope
2582,Jeir
2582,Marchmont
2582,Murrumbateman
2582,Wee Jasper
2582,Yass
2582,Yass River
2583,Bigga
2583,Binda
2583,Crookwell
2583,Grabben Gullen
2583,Laggan
2583,Tuena
2584,Binalong
2585,Galong
2586,Boorowa
2586,Frogmore
2586,Godfreys Creek
2586,Murringo
2586,Rye Park
2587,Harden
2587,Kingsvale
2587,Murrumburrah
2587,Wombat
2588,Wallendbeen
2590,Bethungra
2590,Cootamundra
2594,Bribbaree
2594,Burrangong
2594,Memagong
2594,Monteagle
2594,Young
2600,Barton
2600,Deakin
2600,Parkes (ACT)
2600,Yarralumla
2601,Acton (ACT)
2601,City
2602,Ainslie
2602,Dickson
2602,Downer
2602,Hackett
2602,Lyneham
2602,O'Connor (ACT)
2602,Watson
2603,Forrest (ACT)
2603,Griffith (ACT)
2603,Red Hill (ACT)
2604,Kingston (ACT)
2604,Narrabundah
2605,Curtin
2605,Garran
2605,Hughes (ACT)
2606,Chifley (ACT)
2606,Lyons (ACT)
2606,O'Malley
2606,Phillip
2607,Farrer
2607,Isaacs
2607,Mawson
2607,Pearce
2607,Torrens
2609,Pialligo
2609,Symonston
2611,Chapman
2611,Duffy
2611,Fisher (ACT)
2611,Holder (ACT)
2611,Rivett
2611,Stirling (ACT)
2611,Tharwa
2611,Waramanga
2611,Weston (ACT)
2612,Braddon
2612,Campbell
2612,Reid (ACT)
2612,Turner
2614,Aranda
2614,Cook
2614,Hawker (ACT)
2614,Macquarie
2614,Page
2614,Scullin
2614,Weetangera
2615,Acton (ACT)
2615,Charnwood
2615,Dunlop
2615,Florey
2615,Flynn (ACT)
2615,Fraser
2615,Higgins
2615,Holt
2615,Latham (ACT)
2615,Macgregor (ACT)
2615,Melba
2615,Spence (ACT)
2617,Belconnen
2617,Bruce (ACT)
2617,Evatt
2617,Giralang
2617,Kaleen
2617,Lawson (ACT)
2617,McKellar
2618,Nanima
2618,Springrange
2618,Wallaroo (NSW)
2618,Hall
2619,Jerrabomberra
2620,Burra (Palerang - NSW)
2620,Carwoola
2620,Crestwood
2620,Googong
2620,Greenleigh
2620,Gundaroo
2620,Karabar
2620,Michelago
2620,Queanbeyan
2620,Queanbeyan East
2620,Queanbeyan West
2620,Royalla
2620,Sutton (NSW)
2620,The Ridgeway
2620,Wamboin
2620,Hume
2620,Oaks Estate
2621,Bungendore
2621,Bywong
2621,Hoskinstown
2621,Primrose Valley
2622,Araluen (NSW)
2622,Braidwood
2622,Harolds Cross
2622,Majors Creek (NSW)
2622,Mulloon
2622,Nerriga
2622,Sassafras (NSW)
2622,Warri
2623,Captains Flat
2625,Kosciuszko National Park
2626,Bredbo
2627,East Jindabyne
2627,Jindabyne
2627,Kalkite
2627,Kosciuszko National Park
2627,Moonbah
2628,Berridale
2628,Dalgety
2629,Adaminaby
2629,Anglers Reach
2629,Providence Portal
2630,Binjura
2630,Bunyan
2630,Cooma (NSW)
2630,Jerangle
2630,Numeralla
2630,Polo Flat
2630,Rock Flat
2630,Shannons Flat
2631,Bibbenluke
2631,Nimmitabel
2631,Winifred
2632,Bombala
2632,Bungarby
2632,Mila
2633,Delegate
2640,Albury
2640,Bungowannah
2640,East Albury
2640,Glenroy (Albury - NSW)
2640,North Albury
2640,South Albury
2640,Splitters Creek
2640,Table Top
2640,Thurgoona
2640,West Albury
2640,Wirlinga
2641,Hamilton Valley
2641,Lavington
2641,Springdale Heights
2642,Brocklesby
2642,Burrumbuttock
2642,Gerogery
2642,Jindera
2642,Jingellic
2642,Khancoban
2642,Rand
2642,Tooma
2642,Walbundrie
2642,Yerong Creek
2643,Howlong
2644,Holbrook
2644,Little Billabong
2644,Mullengandra
2644,Woomargama
2645,Urana
2646,Collendina
2646,Coreen
2646,Corowa
2646,Lowesdale
2646,Oaklands
2647,Mulwala
2648,Curlwaa
2648,Ellerslie (Wentworth - NSW)
2648,Pomona (NSW)
2648,Pooncarie
2648,Wentworth (NSW)
2649,Nurenmerenmong
2650,Ashmont
2650,Big Springs
2650,Bomen
2650,Boorooma
2650,Borambola
2650,Bourkelands
2650,Brookdale (NSW)
2650,Cartwrights Hill
2650,Collingullie
2650,Currawarna
2650,Downside
2650,East Wagga Wagga
2650,Estella
2650,Glenfield Park
2650,Gobbagombalin
2650,Kooringal (NSW)
2650,Lake Albert
2650,Lloyd
2650,Moorong
2650,Mount Austin
2650,North Wagga Wagga
2650,Oura
2650,San Isidore
2650,Springvale (Wagga Wagga - NSW)
2650,Tatton
2650,Tolland
2650,Turvey Park
2650,Wagga Wagga
2650,Wantabadgery
2651,Forest Hill (NSW)
2652,Boree Creek
2652,Goolgowi
2652,Grong Grong
2652,Gumly Gumly
2652,Humula
2652,Ladysmith
2652,Mangoplah
2652,Marrar
2652,Matong
2652,Merriwagga
2652,Old Junee
2652,Rosewood (Tumbarumba - NSW)
2652,Tarcutta
2652,Uranquinty
2653,Courabyra
2653,Glenroy (Tumbarumba - NSW)
2653,Tumbarumba
2655,The Rock
2656,Lockhart (NSW)
2658,Henty (NSW)
2658,Pleasant Hills
2659,Walla Walla
2660,Cookardinia
2660,Culcairn
2661,Kapooka
2663,Junee
2665,Ardlethan
2665,Ariah Park
2665,Barellan
2665,Beckom
2665,Binya
2665,Mirrool
2666,Narraburra
2666,Sebastopol (NSW)
2666,Temora
2668,Barmedman
2669,Girral
2669,Naradhan
2669,Rankins Springs
2669,Tallimba
2669,Tullibigeal
2669,Ungarie
2669,Weethalle
2671,West Wyalong
2671,Wyalong
2672,Lake Cargelligo
2672,Murrin Bridge
2675,Hillston
2678,Charles Sturt University
2680,Beelbangera
2680,Benerembah
2680,Bilbul
2680,Griffith (NSW)
2680,Hanwood
2680,Lake Wyangan
2680,Nericon
2680,Tharbogang
2680,Yoogali
2681,Myall Park (NSW)
2681,Yenda (NSW)
2700,Gillenbah
2700,Narrandera
2701,Coolamon
2701,Methul
2702,Ganmain
2703,Yanco
2705,Corbie Hill
2705,Leeton
2705,Merungle Hill
2705,Murrami
2705,Stanbridge
2705,Whitton
2706,Darlington Point
2707,Coleambally
2710,Calimo
2710,Conargo
2710,Deniliquin
2710,Lindifferon
2710,Mathoura
2710,Stud Park
2710,Wakool
2711,Booligal
2711,Carrathool
2711,Hay (NSW)
2711,Hay South
2712,Berrigan
2712,Boomanoomana
2713,Blighty
2713,Finley
2713,Logie Brae
2714,Tocumwal
2715,Balranald
2716,Jerilderie
2717,Coomealla
2717,Dareton
2720,Bombowlee
2720,Cabramurra
2720,Gilmore (NSW)
2720,Gocup
2720,Lacmalac
2720,Mundongo
2720,Talbingo
2720,Tumut
2721,Quandialla
2722,Brungle
2722,Gundagai
2722,Nangus
2722,South Gundagai
2725,Stockinbingal
2726,Jugiong
2727,Coolac
2727,Gobarralong
2729,Adelong
2729,Grahamstown
2729,Tumblong
2729,Wondalga
2730,Batlow
2731,Moama
2732,Barham
2732,Wakool
2733,Moulamein
2735,Koraleigh
2735,Speewa (NSW)
2736,Goodnight
2736,Tooleybuc
2737,Euston
2738,Gol Gol
2739,Buronga
2739,Gol Gol
2745,Glenmore Park
2745,Greendale (Liverpool - NSW)
2745,Luddenham
2745,Mulgoa
2745,Regentville
2745,Wallacia
2747,Cambridge Gardens
2747,Cambridge Park
2747,Claremont Meadows
2747,Kingswood (Penrith - NSW)
2747,Llandilo
2747,Shanes Park
2747,Werrington
2747,Werrington County
2747,Werrington Downs
2748,Orchard Hills
2749,Castlereagh
2749,Cranebrook
2750,Emu Heights (NSW)
2750,Emu Plains
2750,Jamisontown
2750,Leonay
2750,Penrith
2750,South Penrith
2752,Silverdale (NSW)
2752,Warragamba
2753,Agnes Banks
2753,Bowen Mountain
2753,Grose Vale
2753,Grose Wold
2753,Hobartville (NSW)
2753,Londonderry (NSW)
2753,Richmond (NSW)
2753,Richmond Lowlands
2753,Yarramundi
2754,North Richmond
2754,Tennyson (NSW)
2754,The Slopes
2756,Bligh Park
2756,Cattai
2756,Clarendon (NSW)
2756,Colo Heights
2756,Cumberland Reach
2756,Ebenezer (NSW)
2756,Freemans Reach
2756,Glossodia
2756,Lower Portland
2756,Maroota
2756,McGraths Hill
2756,Mountain Lagoon
2756,Pitt Town
2756,Sackville
2756,Sackville North
2756,South Maroota
2756,South Windsor
2756,Wilberforce (NSW)
2756,Windsor (NSW)
2756,Windsor Downs
2757,Kurmond
2758,Berambing
2758,Bilpin
2758,Blaxlands Ridge
2758,East Kurrajong
2758,Kurrajong
2758,Kurrajong Heights
2758,Kurrajong Hills
2759,Erskine Park
2759,St Clair (Penrith - NSW)
2760,Colyton
2760,North St Marys
2760,Oxley Park
2760,Ropes Crossing
2760,St Marys (NSW)
2761,Dean Park
2761,Glendenning
2761,Hassall Grove
2761,Oakhurst (NSW)
2761,Plumpton (NSW)
2762,Schofields
2763,Acacia Gardens
2763,Quakers Hill
2765,Berkshire Park
2765,Box Hill (NSW)
2765,Maraylya
2765,Marsden Park
2765,Nelson (The Hills - NSW)
2765,Oakville
2765,Riverstone
2765,Vineyard
2766,Eastern Creek
2766,Rooty Hill
2767,Doonside
2767,Woodcroft (NSW)
2768,Glenwood (NSW)
2768,Parklea
2768,Stanhope Gardens
2769,The Ponds
2770,Bidwill (NSW)
2770,Blackett
2770,Dharruk
2770,Emerton
2770,Hebersham
2770,Lethbridge Park
2770,Minchinbury
2770,Mount Druitt
2770,Shalvey
2770,Tregear
2770,Whalan
2770,Willmot
2773,Glenbrook
2773,Lapstone
2774,Blaxland (NSW)
2774,Mount Riverview
2774,Warrimoo
2775,Leets Vale
2775,Lower Macdonald
2775,Spencer
2775,St Albans (NSW)
2775,Wisemans Ferry
2776,Faulconbridge
2777,Hawkesbury Heights
2777,Springwood (NSW)
2777,Valley Heights
2777,Winmalee
2777,Yellow Rock (Blue Mountains - NSW)
2778,Linden (NSW)
2778,Woodford (NSW)
2779,Hazelbrook
2780,Katoomba
2780,Leura
2780,Medlow Bath
2782,Wentworth Falls
2783,Lawson (NSW)
2784,Bullaburra
2785,Blackheath (NSW)
2786,Dargan
2786,Mount Victoria
2787,Black Springs (NSW)
2787,Blue Mountains National Park
2787,Duckmaloi
2787,Edith (NSW)
2787,Oberon
2787,Porters Retreat
2790,Bowenfels
2790,Clarence
2790,Cullen Bullen
2790,Ganbenang
2790,Hartley (NSW)
2790,Hassans Walls
2790,Hermitage Flat
2790,Kanimbla (NSW)
2790,Lidsdale
2790,Lithgow
2790,Little Hartley
2790,Littleton
2790,Marrangaroo
2790,McKellars Park
2790,Morts Estate
2790,Oaky Park
2790,Rydal
